,Player,Tm,Short FGA,Short FGM,Reg FGA,Reg FGM,Med FGA,Med FGM,Long FGA,Long FGM,Deep FGA,Deep FGM,XPA,XPM,Year,Pos
599,Chase McLaughlin,IND,,,7.0,7.0,6.0,5.0,11.0,9.0,12.0,9.0,21.0,21.0,2022,K
600,Riley Patterson,JAX,,,8.0,8.0,11.0,10.0,13.0,10.0,3.0,2.0,37.0,36.0,2022,K
601,Eddy Pineiro,CAR,,,2.0,2.0,17.0,16.0,14.0,13.0,2.0,2.0,32.0,30.0,2022,K
602,Greg Joseph,MIN,,,10.0,10.0,5.0,5.0,8.0,7.0,10.0,4.0,46.0,40.0,2022,K
603,Brett Maher,DAL,,,9.0,9.0,5.0,5.0,7.0,6.0,11.0,9.0,53.0,50.0,2022,K
604,Robbie Gould,SFO,,,14.0,13.0,5.0,5.0,11.0,7.0,2.0,2.0,51.0,50.0,2022,K
605,Jason Sanders,MIA,,,6.0,5.0,7.0,7.0,13.0,12.0,6.0,2.0,44.0,41.0,2022,K
606,Cade York,CLE,,,5.0,5.0,12.0,9.0,8.0,6.0,7.0,4.0,37.0,35.0,2022,K
607,Graham Gano,NYG,,,2.0,2.0,10.0,9.0,11.0,10.0,9.0,8.0,34.0,32.0,2022,K
608,Tyler Bass,BUF,,,4.0,4.0,13.0,11.0,11.0,10.0,3.0,2.0,50.0,48.0,2022,K
609,Wil Lutz,NOR,,,6.0,6.0,11.0,9.0,8.0,4.0,6.0,4.0,33.0,33.0,2022,K
610,Ka'imi Fairbairn,HOU,,,7.0,7.0,8.0,7.0,10.0,9.0,6.0,6.0,24.0,24.0,2022,K
611,Matt Gay,LAR,,,9.0,9.0,8.0,8.0,4.0,4.0,9.0,7.0,32.0,31.0,2022,K
612,Joey Slye,WAS,1.0,1.0,8.0,8.0,5.0,4.0,10.0,8.0,6.0,4.0,28.0,24.0,2022,K
613,Evan McPherson,CIN,1.0,1.0,6.0,5.0,4.0,4.0,13.0,9.0,5.0,5.0,44.0,40.0,2022,K
614,Mason Crosby,GNB,,,10.0,10.0,8.0,8.0,7.0,6.0,4.0,1.0,39.0,37.0,2022,K
615,Michael Badgley,2TM,,,7.0,6.0,7.0,7.0,11.0,9.0,3.0,2.0,33.0,33.0,2022,K
616,Chris Boswell,PIT,,,4.0,4.0,5.0,4.0,10.0,5.0,9.0,7.0,18.0,18.0,2022,K
617,Matt Prater,ARI,,,1.0,1.0,10.0,10.0,8.0,6.0,6.0,5.0,18.0,17.0,2022,K
618,Harrison Butker,KAN,,,7.0,7.0,5.0,4.0,5.0,4.0,7.0,3.0,41.0,38.0,2022,K
619,Jake Elliott,PHI,,,6.0,6.0,9.0,8.0,2.0,1.0,6.0,5.0,53.0,51.0,2022,K
620,Cairo Santos,CHI,,,4.0,4.0,7.0,7.0,7.0,6.0,5.0,4.0,32.0,27.0,2022,K
621,Cameron Dicker,2TM,,,7.0,7.0,7.0,7.0,7.0,7.0,1.0,,24.0,24.0,2022,K
622,Randy Bullock,TEN,,,5.0,5.0,5.0,5.0,8.0,6.0,2.0,1.0,28.0,28.0,2022,K
623,Matthew Wright,2TM,,,1.0,1.0,7.0,6.0,8.0,6.0,2.0,2.0,15.0,15.0,2022,K
624,Dustin Hopkins,LAC,,,2.0,2.0,6.0,6.0,2.0,1.0,,,12.0,12.0,2022,K
625,Matt Ammendola,2TM,1.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,7.0,5.0,2022,K
626,Austin Seibert,DET,,,,,1.0,1.0,3.0,2.0,1.0,,12.0,12.0,2022,K
627,Rodrigo Blankenship,2TM,,,2.0,2.0,,,2.0,1.0,1.0,1.0,5.0,4.0,2022,K
628,Caleb Shudak,TEN,,,1.0,1.0,3.0,2.0,,,,,1.0,1.0,2022,K
629,Taylor Bertolet,LAC,,,3.0,3.0,,,,,,,6.0,6.0,2022,K
630,Tristan Vizcaino,2TM,,,,,1.0,1.0,1.0,1.0,,,3.0,3.0,2022,K
631,Nick Sciba,PIT,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,2022,K
632,Dominik Eberle,DET,,,,,,,1.0,1.0,,,4.0,2.0,2022,K
633,Josh Lambo,TEN,,,,,,,,,,,4.0,3.0,2022,K
634,Justin Reid,KAN,,,,,,,,,,,2.0,1.0,2022,K
635,Mitch Wishnowsky,SFO,,,,,,,,,,,2.0,1.0,2022,K
636,Bradley Pinion,ATL,,,,,,,,,,,,,2022,K
637,Jake Camarda,TAM,,,,,,,,,,,,,2022,K
638,Jack Fox,DET,,,,,,,,,,,,,2022,K
639,Jake Bailey,NWE,,,,,,,,,,,,,2022,K
640,Trenton Gill,CHI,,,,,,,,,,,,,2022,K
641,Braden Mann,NYJ,,,,,,,,,,,,,2022,K
642,Ramiz Ahmed,GNB,,,,,,,,,,,,,2022,K
643,JK Scott,LAC,,,,,,,,,,,,,2022,K
644,Eno Benjamin,3TM,,,,,,,,,,,,,2022,K
645,Ryan Stonehouse,TEN,,,,,,,,,,,,,2022,K
646,Thomas Morstead,MIA,,,,,,,,,,,,,2022,K
647,Corey Bojorquez,CLE,,,,,,,,,,,,,2022,K
648,Logan Cooke,JAX,,,,,,,,,,,,,2022,K
649,Michael Dickson,SEA,,,,,,,,,,,,,2022,K
650,Riley Dixon,LAR,,,,,,,,,,,,,2022,K
651,Jamie Gillan,NYG,,,,,,,,,,,,,2022,K
652,Johnny Hekker,CAR,,,,,,,,,,,,,2022,K
653,Sam Martin,BUF,,,,,,,,,,,,,2022,K
654,Arryn Siposs,PHI,,,,,,,,,,,,,2022,K
655,Tress Way,WAS,,,,,,,,,,,,,2022,K
