Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Erik Ezukanma,MIA,,,,9.85,7.40,79.5,0.55,15.0
DeAndre Carter,LV,,,,9.10,7.10,83.8,0.50,14.9
Penny Hart,ATL,,,,13.50,8.70,99.9,,14.3
Kayshon Boutte,NE,,,,12.25,6.70,82.2,0.40,14.0
Denzel Mims,DET,,,,11.00,5.95,82.3,0.45,13.9
Dareke Young,SEA,,,,11.00,5.70,71.1,0.60,13.6
Deven Thompkins,TB,,,,9.00,7.60,82.2,0.20,13.2
Brandon Powell,MIN,,,,12.80,6.50,68.0,0.50,13.1
Danny Gray,SF,,,,9.55,5.45,73.7,0.45,12.8
Britain Covey,PHI,,,,8.90,5.90,67.2,0.50,12.7
Ray-Ray McCloud,SF,,,,8.80,6.60,80.2,0.20,12.5
Chris Conley,SF,,,,10.30,5.90,77.0,0.30,12.5
David Bell,CLE,,,,11.80,7.05,70.6,0.30,12.4
Demario Douglas,NE,,,,13.10,5.50,59.3,0.40,11.1
Simi Fehoko,DAL,,,,6.90,4.90,59.3,0.40,10.8
Mike Strachan,IND,,,,9.40,5.20,61.6,0.30,10.6
Justin Shorter,BUF,,,,6.60,4.15,49.4,0.45,9.7
Marcus Kemp,WAS,,,,7.70,6.00,58.9,0.10,9.5
Phillip Dorsett,LV,,,,9.80,4.70,65.1,0.10,9.5
Lance McCutcheon,LA,,,,7.30,4.70,55.8,0.20,9.1
Tim Jones,JAC,,,,9.00,5.20,56.2,0.10,8.8
Amari Rodgers,IND,,,,4.70,3.80,49.9,0.30,8.7
Tom Kennedy,DET,,,,5.80,3.50,47.1,0.30,8.3
Gunner Olszewski,PIT,,,,8.20,4.40,54.4,0.10,8.2
KaVontae Turpin,DAL,,,,6.90,3.40,37.6,0.40,7.9
Racey McMath,TEN,,,,5.30,3.40,42.8,0.20,7.2
Mason Kinsey,TEN,,,,4.90,3.00,37.3,0.20,6.4
Dax Milne,WAS,,,,5.00,3.50,39.3,0.10,6.3
Cade Johnson,SEA,,,,5.80,3.40,43.7,,6.1
Bryan Edwards,NO,,,,4.80,2.70,35.0,0.20,6.1
Miles Boykin,PIT,,,,5.00,3.40,38.4,0.10,6.1
Frank Darby,ATL,,,,4.80,3.20,35.8,0.10,5.8
Trent Taylor,CIN,,,,5.90,3.10,36.4,0.10,5.8
James Proche,BAL,,,,4.80,3.10,34.1,0.10,5.6
Derius Davis,LAC,,,,2.90,2.40,29.1,0.10,4.7
Grant DuBose,GB,,,,3.95,2.45,27.4,0.10,4.6
Trinity Benson,DET,,,,3.20,1.80,24.8,0.10,4.0
