Player,Team,Ru Att,Ru Yds,Ru TDs,Tgt,Rec,Rec Yds,Rec TDs,Proj Pts
Justice Hill,BAL,11.6,56.0,0.2,11.55,9.40,62.5,0.10,18.4
Evan Hull,IND,20.8,86.9,0.6,4.30,4.15,30.9,0.10,18.1
Travis Homer,CHI,13.2,63.5,0.2,8.40,7.20,57.9,0.20,18.1
John Kelly,CLE,18.3,77.5,0.5,8.00,4.50,33.7,0.10,17.0
Chris Evans,CIN,12.5,51.9,0.1,7.65,6.40,48.4,0.20,15.0
Troy Hairston,HOU,,,,10.30,7.50,56.3,0.90,14.8
Alec Ingold,MIA,2.9,12.3,,10.10,8.60,58.2,0.50,14.4
Dare Ogunbowale,HOU,9.7,39.4,0.5,4.80,4.20,28.1,0.10,12.5
C.J. Ham,MIN,4.4,16.7,0.2,9.50,6.60,50.4,0.20,12.4
Julius Chestnut,TEN,10.0,36.8,0.1,7.10,5.90,38.4,0.20,12.3
Tyrion Davis-Price,SF,17.4,66.5,0.4,3.35,2.20,15.1,0.05,12.0
Snoop Conner,JAC,13.7,57.0,0.4,2.80,2.40,17.2,0.10,11.6
Larry Rountree,LAC,11.5,41.7,0.4,5.80,3.40,25.1,0.10,11.4
Ty'Son Williams,ARI,13.4,57.0,0.5,3.05,1.75,13.1,0.05,11.2
Salvon Ahmed,MIA,14.8,64.2,0.3,2.80,1.50,11.0,0.10,10.7
Avery Williams,ATL,2.5,10.8,0.1,7.70,6.30,40.9,0.20,10.1
Patrick Ricard,BAL,3.3,12.0,,7.90,6.30,43.3,0.20,9.9
La'Mical Perine,KC,9.4,34.4,0.2,6.10,1.90,14.5,0.10,7.6
Jermar Jefferson,DET,4.1,16.8,0.1,5.70,1.70,14.1,0.10,5.1
